date,count
09/07/2022,1613
09/06/2022,1551
09/05/2022,1554
09/04/2022,1509
09/03/2022,1509
09/02/2022,1509
09/01/2022,1472
08/31/2022,1341
08/30/2022,1368
08/29/2022,1458
08/28/2022,1168
08/27/2022,1168
08/26/2022,1168
08/25/2022,1215
08/24/2022,1267
08/23/2022,1271
08/22/2022,1070
08/21/2022,881
08/20/2022,881
08/19/2022,881
08/18/2022,878
08/17/2022,784
08/16/2022,719
08/15/2022,694
08/14/2022,715
08/13/2022,715
08/12/2022,715
08/11/2022,641
08/10/2022,706
08/09/2022,646
08/08/2022,666
08/07/2022,657
08/06/2022,657
08/05/2022,657
08/04/2022,687
08/03/2022,713
08/02/2022,715
08/01/2022,653
07/31/2022,618
07/30/2022,618
07/29/2022,618
07/28/2022,659
07/27/2022,755
07/26/2022,749
07/25/2022,727
07/24/2022,702
07/23/2022,702
07/22/2022,702
07/21/2022,767
07/20/2022,785
07/19/2022,973
07/18/2022,944
07/17/2022,1053
07/16/2022,1053
07/15/2022,1053
07/14/2022,1040
07/13/2022,1060
07/12/2022,1081
07/11/2022,997
07/10/2022,961
07/09/2022,961
07/08/2022,961
07/07/2022,1139
07/06/2022,1243
07/05/2022,1289
07/04/2022,1447
07/03/2022,1633
07/02/2022,1633
07/01/2022,1633
06/30/2022,1730
06/29/2022,1713
06/28/2022,1656
06/27/2022,1740
06/26/2022,1875
06/25/2022,1875
06/24/2022,1875
06/23/2022,1987
06/22/2022,2006
06/21/2022,2011
06/20/2022,2027
06/19/2022,2011
06/18/2022,2011
06/17/2022,2011
06/16/2022,2004
06/15/2022,2035
06/14/2022,2033
06/13/2022,1815
06/12/2022,1815
06/11/2022,1815
06/10/2022,1815
06/09/2022,1657
06/08/2022,1547
06/07/2022,1573
06/06/2022,1427
06/05/2022,1345
06/04/2022,1345
06/03/2022,1345
06/02/2022,1448
06/01/2022,1357
05/31/2022,1192
05/30/2022,1233
05/29/2022,1496
05/28/2022,1496
05/27/2022,1496
05/26/2022,1601
05/25/2022,1611
05/24/2022,1673
05/23/2022,1650
05/22/2022,1708
05/21/2022,1708
05/20/2022,1708
05/19/2022,1835
05/18/2022,1742
05/17/2022,1860
05/16/2022,1897
05/15/2022,1921
05/14/2022,1921
05/13/2022,1921
05/12/2022,1978
05/11/2022,1931
05/10/2022,1961
05/09/2022,1894
05/08/2022,1797
05/07/2022,1797
05/06/2022,1797
05/05/2022,1634
05/04/2022,1720
05/03/2022,1648
05/02/2022,1613
05/01/2022,1419
04/30/2022,1419
04/29/2022,1419
04/28/2022,1544
04/27/2022,1569
04/26/2022,1462
04/25/2022,1199
04/24/2022,1199
04/23/2022,1199
04/22/2022,1199
04/21/2022,1076
04/20/2022,1086
04/19/2022,1058
04/18/2022,1084
04/17/2022,1084
04/16/2022,1084
04/15/2022,1084
04/14/2022,1084
04/13/2022,1141
04/12/2022,1209
04/11/2022,1062
04/10/2022,973
04/09/2022,973
04/08/2022,973
04/07/2022,1035
04/06/2022,931
04/05/2022,836
04/04/2022,796
04/03/2022,823
04/02/2022,823
04/01/2022,823
03/31/2022,791
03/30/2022,847
03/29/2022,871
03/28/2022,940
03/27/2022,866
03/26/2022,866
03/25/2022,866
03/24/2022,882
03/23/2022,854
03/22/2022,953
03/21/2022,1005
03/20/2022,1073
03/19/2022,1073
03/18/2022,1073
03/17/2022,1187
03/16/2022,1392
03/15/2022,1499
03/14/2022,1399
03/13/2022,1449
03/12/2022,1449
03/11/2022,1449
03/10/2022,1431
03/09/2022,1543
03/08/2022,1637
03/07/2022,1576
03/06/2022,1529
03/05/2022,1529
03/04/2022,1529
03/03/2022,1415
03/02/2022,1488
03/01/2022,1521
02/28/2022,1612
