date,count
11/05/2021,65
11/04/2021,67
11/03/2021,46
11/02/2021,45
11/01/2021,53
10/31/2021,56
10/30/2021,56
10/29/2021,56
10/28/2021,47
10/27/2021,57
10/26/2021,69
10/25/2021,62
10/24/2021,72
10/23/2021,72
10/22/2021,72
10/21/2021,81
10/20/2021,97
10/19/2021,120
10/18/2021,92
10/17/2021,83
10/16/2021,83
10/15/2021,83
10/14/2021,90
10/13/2021,69
10/12/2021,49
10/11/2021,47
10/10/2021,50
10/09/2021,50
10/08/2021,50
10/07/2021,48
10/06/2021,46
10/05/2021,46
10/04/2021,46
10/03/2021,43
10/02/2021,43
10/01/2021,43
09/30/2021,53
09/29/2021,50
09/28/2021,53
09/27/2021,64
09/26/2021,39
09/25/2021,39
09/24/2021,39
09/23/2021,40
09/22/2021,40
09/21/2021,45
09/20/2021,60
09/19/2021,108
09/18/2021,108
09/17/2021,108
09/16/2021,115
09/15/2021,91
09/14/2021,81
09/13/2021,78
09/12/2021,69
09/11/2021,69
09/10/2021,69
09/09/2021,74
09/08/2021,102
09/07/2021,107
09/06/2021,115
09/05/2021,113
09/04/2021,113
09/03/2021,113
09/02/2021,103
09/01/2021,88
08/31/2021,83
08/30/2021,77
08/29/2021,74
08/28/2021,74
08/27/2021,74
08/26/2021,59
08/25/2021,48
08/24/2021,39
08/23/2021,35
08/22/2021,31
08/21/2021,31
08/20/2021,31
08/19/2021,26
08/18/2021,32
08/17/2021,42
08/16/2021,59
08/15/2021,81
08/14/2021,81
08/13/2021,81
08/12/2021,84
08/11/2021,57
08/10/2021,59
08/09/2021,56
08/08/2021,67
08/07/2021,67
08/06/2021,67
08/05/2021,54
08/04/2021,66
08/03/2021,52
08/02/2021,43
08/01/2021,32
07/31/2021,32
07/30/2021,32
07/29/2021,44
07/28/2021,42
07/27/2021,59
07/26/2021,53
07/25/2021,43
07/24/2021,43
07/23/2021,43
07/22/2021,45
07/21/2021,37
07/20/2021,32
07/19/2021,42
07/18/2021,73
07/17/2021,73
07/16/2021,73
07/15/2021,53
07/14/2021,55
07/13/2021,59
07/12/2021,52
07/11/2021,50
07/10/2021,50
07/09/2021,50
07/08/2021,68
07/07/2021,85
07/06/2021,83
07/05/2021,81
07/04/2021,67
07/03/2021,67
07/02/2021,67
07/01/2021,60
06/30/2021,48
06/29/2021,32
06/28/2021,36
06/27/2021,27
06/26/2021,27
06/25/2021,27
06/24/2021,24
06/23/2021,26
06/22/2021,23
06/21/2021,25
06/20/2021,40
06/19/2021,40
06/18/2021,40
06/17/2021,39
06/16/2021,48
06/15/2021,51
06/14/2021,54
06/13/2021,54
06/12/2021,54
06/11/2021,54
06/10/2021,50
06/09/2021,48
06/08/2021,61
06/07/2021,48
06/06/2021,45
06/05/2021,45
06/04/2021,45
06/03/2021,55
06/02/2021,60
06/01/2021,62
05/31/2021,73
05/30/2021,69
05/29/2021,69
05/28/2021,69
05/27/2021,67
05/26/2021,52
05/25/2021,52
05/24/2021,56
05/23/2021,55
05/22/2021,55
05/21/2021,55
05/20/2021,57
05/19/2021,41
05/18/2021,44
05/17/2021,34
05/16/2021,40
05/15/2021,40
05/14/2021,40
05/13/2021,27
05/12/2021,42
05/11/2021,36
05/10/2021,62
05/09/2021,47
05/08/2021,47
05/07/2021,47
05/06/2021,40
05/05/2021,48
05/04/2021,50
05/03/2021,48
05/02/2021,64
05/01/2021,64
04/30/2021,64
04/29/2021,63
04/28/2021,62
04/27/2021,64
04/26/2021,61
04/25/2021,56
04/24/2021,56
04/23/2021,56
04/22/2021,57
04/21/2021,60
04/20/2021,75
04/19/2021,65
04/18/2021,62
04/17/2021,62
04/16/2021,62
04/15/2021,69
04/14/2021,65
04/13/2021,57
04/12/2021,62
04/11/2021,98
04/10/2021,98
04/09/2021,98
04/08/2021,74
04/07/2021,57
04/06/2021,51
04/05/2021,52
04/04/2021,52
04/03/2021,52
04/02/2021,52
04/01/2021,52
03/31/2021,45
03/30/2021,48
03/29/2021,53
03/28/2021,57
03/27/2021,57
03/26/2021,57
03/25/2021,48
03/24/2021,56
03/23/2021,58
03/22/2021,83
03/21/2021,85
03/20/2021,85
03/19/2021,85
03/18/2021,103
03/17/2021,115
03/16/2021,106
03/15/2021,86
03/14/2021,76
03/13/2021,76
03/12/2021,76
03/11/2021,53
03/10/2021,35
03/09/2021,33
03/08/2021,32
03/07/2021,32
03/06/2021,32
03/05/2021,32
03/04/2021,33
03/03/2021,55
03/02/2021,48
03/01/2021,64
02/28/2021,75
02/27/2021,75
02/26/2021,75
02/25/2021,90
02/24/2021,77
02/23/2021,82
02/22/2021,84
02/21/2021,85
02/20/2021,85
02/19/2021,85
02/18/2021,88
02/17/2021,76
02/16/2021,87
02/15/2021,91
02/14/2021,82
02/13/2021,82
02/12/2021,82
02/11/2021,93
02/10/2021,107
02/09/2021,126
02/08/2021,123
02/07/2021,83
02/06/2021,83
02/05/2021,83
02/04/2021,66
02/03/2021,58
02/02/2021,53
02/01/2021,57
01/31/2021,55
01/30/2021,55
01/29/2021,55
01/28/2021,84
01/27/2021,128
01/26/2021,148
01/25/2021,148
01/24/2021,124
01/23/2021,124
01/22/2021,124
01/21/2021,158
01/20/2021,144
01/19/2021,127
01/18/2021,113
01/17/2021,93
01/16/2021,93
01/15/2021,93
01/14/2021,85
01/13/2021,90
01/12/2021,85
01/11/2021,104
01/10/2021,152
01/09/2021,152
01/08/2021,152
01/07/2021,136
01/06/2021,124
01/05/2021,132
01/04/2021,121
01/03/2021,95
01/02/2021,95
01/01/2021,95
12/31/2020,95
12/30/2020,68
12/29/2020,63
12/28/2020,44
12/27/2020,44
12/26/2020,44
12/25/2020,44
12/24/2020,44
12/23/2020,46
12/22/2020,38
12/21/2020,52
12/20/2020,43
12/19/2020,43
12/18/2020,43
12/17/2020,46
12/16/2020,46
12/15/2020,43
12/14/2020,55
12/13/2020,77
12/12/2020,77
12/11/2020,77
12/10/2020,64
