0
ASX:WR1
ASX:ENR
ASX:SYR
ASX:TMK
ASX:AGY
ASX:GT1
ASX:TIE
ASX:RNU
ASX:PNV
ASX:MAD
ASX:DUR
ASX:ARU
ASX:KFM
ASX:CXO
ASX:FOD
ASX:TPD
ASX:AD8
ASX:STA
