date,count
9/02/2022,2060
9/01/2022,2076
08/31/2022,1968
08/30/2022,1952
08/29/2022,2113
08/28/2022,1997
08/27/2022,1997
08/26/2022,1997
08/25/2022,1959
08/24/2022,1981
08/23/2022,2098
08/22/2022,2096
08/21/2022,2009
08/20/2022,2009
08/19/2022,2009
08/18/2022,2061
08/17/2022,2067
08/16/2022,2045
08/15/2022,1990
08/14/2022,2019
08/13/2022,2019
8/12/2022,2019
8/11/2022,1891
8/10/2022,2030
8/09/2022,1965
8/08/2022,1917
8/07/2022,1946
8/06/2022,1946
8/05/2022,1946
8/04/2022,1972
8/03/2022,1975
8/02/2022,2051
8/01/2022,2015
07/31/2022,1918
07/30/2022,1918
07/29/2022,1918
07/28/2022,1785
07/27/2022,2011
07/26/2022,1980
07/25/2022,2010
07/24/2022,1943
07/23/2022,1943
07/22/2022,1943
07/21/2022,1874
07/20/2022,1872
07/19/2022,1997
07/18/2022,1910
07/17/2022,2017
07/16/2022,2017
07/15/2022,2017
07/14/2022,1931
07/13/2022,1978
7/12/2022,2025
7/11/2022,1990
7/10/2022,1807
7/09/2022,1807
7/08/2022,1807
7/07/2022,1932
7/06/2022,1920
7/05/2022,1824
7/04/2022,1813
7/03/2022,1769
7/02/2022,1769
7/01/2022,1769
06/30/2022,1986
06/29/2022,2018
06/28/2022,1953
06/27/2022,1847
06/26/2022,1737
06/25/2022,1737
06/24/2022,1737
06/23/2022,2049
06/22/2022,2025
06/21/2022,1911
06/20/2022,2049
06/19/2022,2037
06/18/2022,2037
06/17/2022,2037
06/16/2022,1857
06/15/2022,2055
06/14/2022,2167
06/13/2022,2079
6/12/2022,2079
