date,count
27/04/2023,8
26/04/2023,9
25/04/2023,10
24/04/2023,12
23/04/2023,9
22/04/2023,9
21/04/2023,9
20/04/2023,12
19/04/2023,5
18/04/2023,4
17/04/2023,7
16/04/2023,2
15/04/2023,2
14/04/2023,2
13/04/2023,4
12/04/2023,2
11/04/2023,4
10/04/2023,7
09/04/2023,4
08/04/2023,4
07/04/2023,4
06/04/2023,4
05/04/2023,6
04/04/2023,4
03/04/2023,5
02/04/2023,5
01/04/2023,5
31/03/2023,5
30/03/2023,4
29/03/2023,6
28/03/2023,5
27/03/2023,6
26/03/2023,5
25/03/2023,5
24/03/2023,5
23/03/2023,4
22/03/2023,8
21/03/2023,8
20/03/2023,8
19/03/2023,13
18/03/2023,13
17/03/2023,13
16/03/2023,25
15/03/2023,14
14/03/2023,15
13/03/2023,8
12/03/2023,2
11/03/2023,2
10/03/2023,2
09/03/2023,1
08/03/2023,0
07/03/2023,1
06/03/2023,3
05/03/2023,3
04/03/2023,3
03/03/2023,3
02/03/2023,3
01/03/2023,4
28/02/2023,2
27/02/2023,4
26/02/2023,5
25/02/2023,5
24/02/2023,5
23/02/2023,5
22/02/2023,5
21/02/2023,14
20/02/2023,17
19/02/2023,25
18/02/2023,25
17/02/2023,25
16/02/2023,26
15/02/2023,34
14/02/2023,11
13/02/2023,7
12/02/2023,3
11/02/2023,3
10/02/2023,3
09/02/2023,2
08/02/2023,2
07/02/2023,2
06/02/2023,1
05/02/2023,6
04/02/2023,6
03/02/2023,6
02/02/2023,5
01/02/2023,4
31/01/2023,1
30/01/2023,2
29/01/2023,1
28/01/2023,1
27/01/2023,1
26/01/2023,0
25/01/2023,0
24/01/2023,2
23/01/2023,1
22/01/2023,1
21/01/2023,1
20/01/2023,1
19/01/2023,4
18/01/2023,4
17/01/2023,7
16/01/2023,3
15/01/2023,2
14/01/2023,2
13/01/2023,2
12/01/2023,0
11/01/2023,2
10/01/2023,2
09/01/2023,2
08/01/2023,2
07/01/2023,2
06/01/2023,2
05/01/2023,2
04/01/2023,1
03/01/2023,0
02/01/2023,0
01/01/2023,0
31/12/2022,0
30/12/2022,0
29/12/2022,5
28/12/2022,3
27/12/2022,4
26/12/2022,19
25/12/2022,26
24/12/2022,26
23/12/2022,26
22/12/2022,20
21/12/2022,23
20/12/2022,22
19/12/2022,9
18/12/2022,10
17/12/2022,10
16/12/2022,10
15/12/2022,5
14/12/2022,3
13/12/2022,5
12/12/2022,7
11/12/2022,4
